OBJECTID,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Shape_STArea__,Shape_STLength__,Zone_Desc
62441,CC,Mission Hill Neighborhood,6D,59,Business,Mission Hill Neighborhood CC,3,0,0,Community Commercial
62442,WM,South Boston Neighborhood,4F,68,Industrial,South Boston Neighborhood WM,2,0,0,Waterfront Manufacturing
62443,M-4,South Boston,4,Underlying Zoning,Industrial,South Boston M-4,4,0,0,Restricted Manufacturing
62444,D St. NDA,South Boston Neighborhood,4F,68,Mixed Use,South Boston Neighborhood D St. NDA,2,0,0,Neighborhood Development Area
62445,SUMMER ST. LI,South Boston Neighborhood,4F,68,Industrial,South Boston Neighborhood Summer St. LI,3,0,0,Local Industrial
62446,E St. LI,South Boston Neighborhood,4F,68,Industrial,South Boston Neighborhood E St. LI,2,0,0,Local Industrial
62447,WC,South Boston Neighborhood,4F,68,Business,South Boston Neighborhood WC,2,0,0,Waterfront Commercial
62448,I-2,South Boston,4,Underlying Zoning,Industrial,South Boston I-2,2,0,0,General Industrial
62449,First St. LI,South Boston Neighborhood,4F,68,Industrial,South Boston Neighborhood First St. LI,2,0,0,Local Industrial
62450,EDA CENTRAL,South End Neighborhood,1P,64,Miscellaneous,South End Neighborhood EDA CENTRAL,4,0,0,Economic Development Area
62451,SOUTH BOYLSTON NS-3,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood SOUTH BOYLSTON NS-3,5,0,0,Neighborhood Shopping
62452,NORTH BOYLSTON NS-3,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood NORTH BOYLSTON NS-3,5,0,0,Neighborhood Shopping
62453,OS-CM,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-CM,,0,0,Cemetery Open Space
62454,OS-UP,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-UP,,0,0,Urban Plaza Open Space
62455,RH-2000,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-2000,2,0,0,Row House Residential
62456,RH-2000,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-2000,2,0,0,Row House Residential
62457,OS-P,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-P,,0,0,Parkland Open Space
62458,OS-P,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-P,,0,0,Parkland Open Space
62459,RH-2000,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-2000,2,0,0,Row House Residential
62460,RH-1500,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-1500,2,0,0,Row House Residential
62461,RH-2000,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-2000,2,0,0,Row House Residential
62462,RH-1500,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-1500,2,0,0,Row House Residential
62463,NEPOSET SHORELAND OPEN SPACE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Harborpark: Dorchester Bay/Neponset River Waterfront NEPOSET SHORELAND OPEN SPACE SUBDISTRICT,,0,0,Shoreland Open Space
62464,CEDAR GROVE GENERAL BUSINESS SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Business,Harborpark: Dorchester Bay/Neponset River Waterfront CEDAR GROVE GENERAL BUSINESS SUBDISTRICT,1,0,0,General Business
62465,NEPONSET RIVER RESIDENTIAL SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Business,Harborpark: Dorchester Bay/Neponset River Waterfront NEPONSET RIVER RESIDENTIAL SUBDISTRICT,1,0,0,Residential
62466,LOWER MILLS SHORELAND OPEN SPACE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Harborpark: Dorchester Bay/Neponset River Waterfront LOWER MILLS SHORELAND OPEN SPACE SUBDISTRICT,,0,0,Shoreland Open Space
62467,OS-SL,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Harborpark: Dorchester Bay/Neponset River Waterfront OS-SL,,0,0,Shoreland Open Space
