DATE,ATNHPIUS14454Q
1977-10-01,24.97
1978-01-01,25.02
1978-04-01,26.64
1978-07-01,30.07
1978-10-01,29.94
1979-01-01,32.18
1979-04-01,31.91
1979-07-01,32.92
1979-10-01,33.42
1980-01-01,34.23
1980-04-01,36.08
1980-07-01,37.72
1980-10-01,38.32
1981-01-01,39.87
1981-04-01,41.57
1981-07-01,42.86
1981-10-01,42.95
1982-01-01,43.62
1982-04-01,42.92
1982-07-01,44.13
1982-10-01,44.34
1983-01-01,45.65
1983-04-01,48.06
1983-07-01,50.43
1983-10-01,52.81
1984-01-01,53.79
1984-04-01,57.67
1984-07-01,61.52
1984-10-01,63.56
1985-01-01,67.21
1985-04-01,72.42
1985-07-01,77.55
1985-10-01,82.64
1986-01-01,86.17
1986-04-01,90.17
1986-07-01,94.54
1986-10-01,99.53
1987-01-01,102.93
1987-04-01,105.11
1987-07-01,108.82
1987-10-01,109.45
1988-01-01,109.82
1988-04-01,112.49
1988-07-01,111.77
1988-10-01,112.9
1989-01-01,111.48
1989-04-01,111.21
1989-07-01,112.51
1989-10-01,112.74
1990-01-01,111.23
1990-04-01,108.13
1990-07-01,107.02
1990-10-01,103.49
1991-01-01,102.38
1991-04-01,101.14
1991-07-01,100.37
1991-10-01,100.91
1992-01-01,100.52
1992-04-01,99.32
1992-07-01,100.04
1992-10-01,100.14
1993-01-01,99.67
1993-04-01,100.4
1993-07-01,100.59
1993-10-01,101.12
1994-01-01,101.5
1994-04-01,100.37
1994-07-01,100.34
1994-10-01,99.66
1995-01-01,100.00
1995-04-01,102.37
1995-07-01,104.25
1995-10-01,104.77
1996-01-01,106.47
1996-04-01,106.58
1996-07-01,107.2
1996-10-01,108.72
1997-01-01,109.6
1997-04-01,111.47
1997-07-01,113.28
1997-10-01,115.22
1998-01-01,116.8
1998-04-01,119.56
1998-07-01,122.94
1998-10-01,125.15
1999-01-01,128.1
1999-04-01,132.44
1999-07-01,138.69
1999-10-01,142.35
2000-01-01,148.58
2000-04-01,153.73
2000-07-01,159.8
2000-10-01,163.71
2001-01-01,168.32
2001-04-01,173.54
2001-07-01,179.21
2001-10-01,183.26
2002-01-01,189.43
2002-04-01,196.7
2002-07-01,203
2002-10-01,208.02
2003-01-01,212.73
2003-04-01,216.62
2003-07-01,220.57
2003-10-01,231
2004-01-01,234.77
2004-04-01,240.08
2004-07-01,251.8
2004-10-01,256.14
2005-01-01,261.05
2005-04-01,266.9
2005-07-01,269.79
2005-10-01,272.08
2006-01-01,272.27
2006-04-01,267.51
2006-07-01,265.88
2006-10-01,266.16
2007-01-01,263.17
2007-04-01,258.91
2007-07-01,253.82
2007-10-01,253.9
2008-01-01,253.4
2008-04-01,244.9
2008-07-01,239.36
2008-10-01,239.84
2009-01-01,239.49
2009-04-01,233.6
2009-07-01,228.98
2009-10-01,229.63
2010-01-01,227.8
2010-04-01,228.03
2010-07-01,229.7
2010-10-01,229.56
2011-01-01,225.97
2011-04-01,223.6
2011-07-01,225.46
2011-10-01,225.29
2012-01-01,224.36
2012-04-01,223.72
2012-07-01,225.33
2012-10-01,226.22
2013-01-01,227.35
2013-04-01,229.61
2013-07-01,233.02
2013-10-01,234.69
2014-01-01,237.29
2014-04-01,242.55
2014-07-01,245.43
2014-10-01,248.15
2015-01-01,248.95
2015-04-01,252.96
2015-07-01,258.01
2015-10-01,260.23
2016-01-01,263.45
2016-04-01,267.73
2016-07-01,272.1
2016-10-01,275.41
2017-01-01,277.75
2017-04-01,286.99
2017-07-01,290.5
2017-10-01,293.84
2018-01-01,297.86
2018-04-01,302.75
2018-07-01,307.72
2018-10-01,309.32
2019-01-01,312.72
2019-04-01,317.5
2019-07-01,320.04
2019-10-01,323.02
