RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04
102001,United States,0,1254,1262,1265,1279,1293,1304,1313,1317,1317,1316,1315,1315,1319,1326,1335,1347,1357,1366,1372,1376,1377,1376,1376,1375,1380,1387,1396,1406,1417,1424,1426,1429,1428,1427,1425,1424,1427,1432,1440,1449,1458,1465,1471,1472,1464,1463,1465,1465,1469,1475,1484,1494,1505,1514,1519,1521,1520,1519,1520,1519,1522,1529,1539,1549,1561,1570,1576,1577,1575,1572,1570,1568,1574,1583,1592,1594
394913,"New York, NY",1,2150,2182,2180,2206,2232,2255,2268,2277,2275,2275,2274,2275,2281,2290,2308,2334,2346,2361,2372,2378,2386,2386,2374,2375,2380,2381,2384,2407,2423,2433,2417,2428,2430,2429,2427,2416,2417,2417,2422,2440,2451,2460,2468,2464,2476,2460,2453,2438,2433,2443,2453,2466,2487,2499,2506,2509,2510,2498,2493,2485,2487,2495,2512,2521,2549,2568,2576,2575,2569,2572,2559,2549,2549,2569,2547,2549
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1820,1815,1828,1855,1880,1908,1932,1945,1951,1956,1958,1964,1977,1983,1995,2013,2028,2038,2054,2070,2081,2085,2090,2099,2111,2121,2134,2156,2174,2191,2193,2207,2213,2220,2217,2220,2224,2238,2249,2266,2282,2292,2304,2316,2317,2317,2319,2316,2326,2332,2340,2356,2369,2387,2394,2402,2410,2417,2418,2416,2418,2427,2436,2447,2454,2469,2485,2491,2490,2489,2489,2488,2497,2506,2516,2503
394463,"Chicago, IL",3,1419,1432,1435,1453,1471,1483,1492,1493,1490,1480,1476,1476,1478,1485,1476,1501,1516,1532,1539,1545,1538,1528,1519,1514,1524,1533,1546,1562,1577,1587,1594,1594,1583,1571,1560,1552,1552,1561,1578,1591,1606,1616,1621,1614,1604,1591,1581,1575,1579,1588,1601,1615,1629,1642,1647,1645,1632,1618,1609,1603,1610,1621,1639,1656,1672,1680,1686,1685,1676,1664,1655,1649,1655,1669,1680,1682
394514,"Dallas-Fort Worth, TX",4,1201,1199,1205,1217,1231,1244,1249,1254,1256,1252,1253,1256,1258,1266,1279,1291,1300,1312,1318,1322,1317,1314,1319,1315,1320,1330,1340,1352,1369,1376,1386,1389,1385,1387,1387,1384,1384,1390,1400,1409,1420,1432,1439,1440,1435,1434,1428,1428,1432,1436,1444,1451,1460,1472,1478,1472,1472,1472,1479,1472,1476,1484,1491,1504,1514,1523,1528,1528,1523,1524,1520,1515,1519,1528,1538,1535
394974,"Philadelphia, PA",5,1304,1303,1308,1318,1326,1332,1342,1343,1340,1333,1327,1317,1328,1329,1343,1351,1360,1366,1374,1373,1366,1364,1361,1366,1363,1370,1382,1393,1402,1407,1413,1407,1405,1401,1402,1406,1404,1406,1413,1422,1428,1434,1437,1434,1431,1428,1425,1421,1418,1430,1440,1451,1465,1466,1472,1473,1471,1472,1473,1474,1472,1476,1490,1502,1506,1515,1522,1522,1521,1513,1515,1513,1518,1523,1538,1540
394692,"Houston, TX",6,1258,1263,1276,1315,1343,1359,1378,1379,1379,1381,1369,1371,1372,1380,1391,1402,1414,1421,1426,1424,1417,1405,1403,1403,1401,1406,1409,1413,1419,1422,1426,1423,1415,1404,1395,1391,1387,1389,1393,1395,1399,1405,1403,1401,1409,1418,1424,1429,1429,1435,1439,1443,1450,1455,1456,1457,1452,1445,1446,1439,1436,1439,1446,1452,1459,1467,1475,1476,1471,1464,1457,1458,1460,1465,1469,1471
395209,"Washington, DC",7,1765,1754,1768,1778,1797,1809,1821,1827,1825,1812,1803,1793,1798,1796,1806,1820,1831,1836,1841,1840,1841,1832,1833,1829,1830,1839,1851,1861,1872,1883,1860,1872,1869,1863,1856,1855,1864,1868,1873,1886,1899,1903,1907,1903,1892,1884,1874,1866,1866,1872,1883,1903,1926,1938,1943,1943,1934,1930,1925,1922,1921,1934,1943,1955,1973,1984,1988,1989,1983,1975,1966,1958,1965,1974,1991,1991
394856,"Miami-Fort Lauderdale, FL",8,1537,1535,1537,1549,1556,1560,1574,1581,1592,1601,1608,1611,1615,1624,1631,1637,1652,1658,1666,1676,1685,1692,1697,1702,1709,1719,1723,1721,1728,1729,1729,1735,1739,1740,1744,1745,1744,1744,1749,1750,1747,1748,1752,1757,1762,1766,1769,1772,1775,1782,1780,1785,1786,1794,1799,1805,1809,1812,1822,1823,1826,1828,1832,1833,1836,1840,1843,1848,1843,1849,1856,1861,1868,1877,1886,1881
394347,"Atlanta, GA",9,1089,1086,1092,1102,1110,1121,1127,1130,1128,1130,1133,1133,1134,1140,1148,1159,1172,1183,1191,1193,1189,1189,1190,1191,1196,1204,1216,1228,1242,1251,1259,1263,1264,1268,1265,1263,1267,1271,1281,1291,1301,1312,1321,1325,1328,1324,1321,1323,1326,1333,1348,1358,1370,1380,1389,1395,1397,1398,1405,1407,1415,1420,1429,1439,1446,1455,1463,1467,1469,1465,1460,1458,1459,1470,1476,1480
