"ECONOMIC ACTIVITY INDEX"
"(INDEX, JULY 1992=100, NOT SEASONALLY ADJUSTED)"
"Source: Federal Reserve Bank of Philadelphia"
"http://www.phil.frb.org/econ/stateindexes/index.html"
 
"DATE","US","CT","ME","MA","NH","RI","VT"
"-------------------------------------------------------------------------------"
"Jan-1979" ,      45.5,      54.9,      56.9,      46.9,      39.1,      58.3,      48.0
"Feb-1979" ,      45.6,      54.9,      56.8,      47.1,      39.2,      58.3,      48.1
"Mar-1979" ,      45.9,      55.0,      56.8,      47.3,      39.4,      58.4,      48.4
"Apr-1979" ,      45.9,      55.2,      56.7,      47.7,      39.6,      58.3,      48.6
"May-1979" ,      46.2,      55.5,      56.8,      48.0,      39.7,      58.2,      48.9
"Jun-1979" ,      46.3,      55.7,      56.8,      48.3,      39.9,      58.3,      49.0
"Jul-1979" ,      46.4,      55.9,      56.9,      48.5,      39.8,      58.3,      49.1
"Aug-1979" ,      46.5,      56.1,      56.8,      48.6,      39.9,      58.5,      49.2
"Sep-1979" ,      46.6,      56.1,      56.9,      48.7,      39.9,      58.4,      49.1
"Oct-1979" ,      46.7,      56.3,      57.0,      48.8,      39.9,      58.5,      49.1
"Nov-1979" ,      46.8,      56.4,      57.1,      48.9,      40.1,      58.4,      49.2
"Dec-1979" ,      46.8,      56.4,      57.2,      49.0,      40.1,      58.4,      49.2
"Jan-1980" ,      46.9,      56.5,      57.3,      49.2,      40.1,      58.3,      49.1
"Feb-1980" ,      47.0,      56.5,      57.2,      49.1,      40.2,      58.2,      49.0
"Mar-1980" ,      47.1,      56.5,      57.0,      49.0,      40.0,      58.1,      48.8
"Apr-1980" ,      47.0,      56.3,      56.7,      49.0,      39.8,      58.1,      48.5
"May-1980" ,      46.8,      56.1,      56.5,      48.9,      39.6,      58.0,      48.2
"Jun-1980" ,      46.7,      55.8,      56.2,      48.8,      39.5,      57.9,      47.8
"Jul-1980" ,      46.7,      55.7,      55.8,      48.9,      39.5,      57.7,      47.8
"Aug-1980" ,      46.7,      55.6,      56.0,      49.0,      39.6,      57.7,      47.7
"Sep-1980" ,      46.8,      55.7,      56.1,      49.1,      39.7,      57.7,      47.8
"Oct-1980" ,      47.0,      55.8,      56.2,      49.4,      39.9,      58.0,      48.2
"Nov-1980" ,      47.1,      55.9,      56.4,      49.5,      40.0,      58.3,      48.6
"Dec-1980" ,      47.3,      56.2,      56.7,      49.6,      40.3,      58.5,      49.0
"Jan-1981" ,      47.3,      56.3,      56.9,      49.7,      40.3,      58.6,      49.5
"Feb-1981" ,      47.5,      56.4,      57.2,      49.7,      40.4,      58.7,      49.7
"Mar-1981" ,      47.6,      56.5,      57.6,      49.6,      40.5,      58.7,      50.0
"Apr-1981" ,      47.7,      56.5,      57.8,      49.6,      40.6,      58.6,      50.2
"May-1981" ,      47.7,      56.6,      58.1,      49.4,      40.7,      58.5,      50.2
"Jun-1981" ,      47.8,      56.7,      58.4,      49.3,      40.9,      58.5,      50.3
"Jul-1981" ,      48.0,      56.8,      58.6,      49.1,      40.9,      58.4,      50.4
"Aug-1981" ,      48.0,      56.9,      58.4,      48.9,      40.9,      58.2,      50.4
"Sep-1981" ,      48.0,      56.9,      58.3,      48.6,      40.9,      58.1,      50.3
"Oct-1981" ,      48.0,      57.0,      58.1,      48.6,      40.8,      57.7,      50.4
"Nov-1981" ,      47.9,      56.9,      57.8,      48.3,      40.7,      57.4,      50.1
"Dec-1981" ,      47.8,      56.7,      57.5,      48.1,      40.5,      57.2,      50.1
"Jan-1982" ,      47.8,      56.7,      57.2,      48.0,      40.4,      56.8,      49.8
"Feb-1982" ,      47.7,      56.7,      57.1,      48.0,      40.3,      56.5,      49.6
"Mar-1982" ,      47.7,      56.7,      56.9,      47.9,      40.2,      56.3,      49.4
"Apr-1982" ,      47.6,      56.6,      56.8,      48.0,      40.1,      56.0,      49.2
"May-1982" ,      47.6,      56.7,      56.9,      48.0,      40.1,      56.0,      49.2
"Jun-1982" ,      47.6,      56.7,      57.0,      48.0,      40.3,      55.9,      49.2
"Jul-1982" ,      47.5,      56.8,      57.1,      48.2,      40.4,      55.9,      49.2
"Aug-1982" ,      47.5,      56.8,      57.2,      48.3,      40.5,      55.9,      49.3
"Sep-1982" ,      47.4,      56.8,      57.3,      48.4,      40.6,      55.8,      49.5
"Oct-1982" ,      47.3,      56.9,      57.1,      48.6,      40.7,      55.8,      49.4
"Nov-1982" ,      47.2,      56.8,      57.0,      48.7,      40.7,      55.9,      49.4
"Dec-1982" ,      47.2,      56.9,      57.1,      49.0,      40.9,      56.1,      49.4
"Jan-1983" ,      47.4,      57.1,      57.1,      49.1,      41.1,      56.5,      49.4
"Feb-1983" ,      47.4,      57.3,      57.0,      49.3,      41.5,      56.9,      49.7
"Mar-1983" ,      47.5,      57.7,      57.1,      49.8,      41.8,      57.5,      50.0
"Apr-1983" ,      47.7,      58.1,      57.2,      50.1,      42.2,      57.9,      50.4
"May-1983" ,      47.9,      58.5,      57.5,      50.5,      42.7,      58.5,      50.8
"Jun-1983" ,      48.1,      58.9,      57.7,      51.0,      43.1,      58.9,      51.3
"Jul-1983" ,      48.4,      59.4,      58.3,      51.3,      43.4,      59.3,      51.7
"Aug-1983" ,      48.4,      59.7,      58.7,      51.7,      43.8,      59.9,      52.2
"Sep-1983" ,      48.8,      60.2,      59.2,      52.0,      44.2,      60.5,      52.7
"Oct-1983" ,      49.1,      60.6,      59.7,      52.4,      44.4,      61.1,      52.9
"Nov-1983" ,      49.3,      60.9,      60.2,      52.8,      44.7,      61.8,      53.2
"Dec-1983" ,      49.6,      61.3,      60.8,      53.2,      45.0,      62.3,      53.4
"Jan-1984" ,      49.9,      61.6,      61.3,      53.7,      45.3,      63.0,      53.7
"Feb-1984" ,      50.2,      61.9,      61.7,      54.2,      45.6,      63.4,      54.0
"Mar-1984" ,      50.4,      62.2,      62.2,      54.7,      45.9,      63.8,      54.1
"Apr-1984" ,      50.7,      62.5,      62.6,      55.1,      46.0,      64.3,      54.5
"May-1984" ,      50.9,      62.6,      62.9,      55.6,      46.0,      64.9,      54.8
"Jun-1984" ,      51.2,      62.9,      63.3,      56.1,      46.2,      65.4,      55.3
"Jul-1984" ,      51.4,      63.1,      63.5,      56.4,      46.4,      65.9,      55.5
"Aug-1984" ,      51.6,      63.1,      63.6,      56.7,      46.5,      66.2,      55.8
"Sep-1984" ,      51.8,      63.2,      64.0,      57.1,      46.7,      66.5,      56.2
"Oct-1984" ,      52.0,      63.2,      64.4,      57.4,      46.9,      66.7,      56.4
"Nov-1984" ,      52.3,      63.3,      64.5,      57.7,      47.1,      66.8,      56.3
"Dec-1984" ,      52.4,      63.3,      64.8,      58.0,      47.2,      66.9,      56.5
"Jan-1985" ,      52.6,      63.2,      64.9,      58.1,      47.5,      67.0,      56.6
"Feb-1985" ,      52.7,      63.3,      65.0,      58.4,      47.6,      67.1,      56.6
"Mar-1985" ,      52.9,      63.3,      65.1,      58.6,      47.9,      67.2,      56.7
"Apr-1985" ,      53.1,      63.4,      65.4,      58.7,      48.1,      67.5,      56.8
"May-1985" ,      53.3,      63.5,      65.7,      58.8,      48.4,      67.8,      57.1
"Jun-1985" ,      53.4,      63.7,      65.9,      58.9,      48.7,      68.0,      57.3
"Jul-1985" ,      53.6,      63.9,      66.2,      59.0,      48.9,      68.3,      57.4
"Aug-1985" ,      53.8,      64.3,      66.3,      59.4,      49.2,      68.6,      57.6
"Sep-1985" ,      53.9,      64.6,      66.5,      59.5,      49.4,      69.0,      57.7
"Oct-1985" ,      54.1,      65.0,      66.5,      59.6,      49.9,      69.3,      58.0
"Nov-1985" ,      54.3,      65.5,      66.5,      59.8,      50.1,      69.7,      58.3
"Dec-1985" ,      54.4,      65.9,      66.7,      59.9,      50.3,      69.8,      58.5
"Jan-1986" ,      54.6,      66.2,      66.8,      60.0,      50.5,      70.0,      58.8
"Feb-1986" ,      54.7,      66.3,      66.9,      60.2,      50.8,      70.2,      59.1
"Mar-1986" ,      54.8,      66.4,      67.0,      60.3,      50.9,      70.3,      59.2
"Apr-1986" ,      55.0,      66.6,      67.3,      60.4,      51.2,      70.5,      59.5
"May-1986" ,      55.1,      66.7,      67.5,      60.3,      51.5,      70.6,      59.7
"Jun-1986" ,      55.2,      66.9,      67.6,      60.5,      51.8,      70.7,      59.9
"Jul-1986" ,      55.4,      67.2,      67.8,      60.6,      52.1,      70.9,      60.0
"Aug-1986" ,      55.5,      67.3,      67.9,      60.7,      52.4,      71.0,      60.3
"Sep-1986" ,      55.7,      67.4,      68.0,      61.1,      52.6,      71.1,      60.4
"Oct-1986" ,      55.9,      67.7,      68.3,      61.2,      52.8,      71.4,      60.6
"Nov-1986" ,      56.0,      67.7,      68.6,      61.5,      53.0,      71.5,      60.9
"Dec-1986" ,      56.3,      67.8,      69.0,      61.9,      53.3,      71.8,      61.3
"Jan-1987" ,      56.4,      67.9,      69.5,      62.0,      53.6,      72.2,      61.6
"Feb-1987" ,      56.6,      68.2,      69.8,      62.3,      53.8,      72.2,      62.0
"Mar-1987" ,      56.8,      68.5,      70.3,      62.7,      54.0,      72.4,      62.3
"Apr-1987" ,      57.0,      68.9,      70.5,      63.0,      54.2,      72.5,      62.6
"May-1987" ,      57.2,      69.1,      70.8,      63.4,      54.4,      72.6,      62.8
"Jun-1987" ,      57.4,      69.5,      71.0,      63.7,      54.4,      72.9,      63.0
"Jul-1987" ,      57.6,      69.7,      71.1,      64.1,      54.7,      73.1,      63.2
"Aug-1987" ,      57.8,      69.8,      71.4,      64.4,      54.7,      73.3,      63.3
"Sep-1987" ,      58.0,      70.0,      71.6,      64.5,      54.6,      73.7,      63.6
"Oct-1987" ,      58.2,      70.1,      71.9,      64.7,      54.8,      73.9,      64.0
"Nov-1987" ,      58.5,      70.4,      72.2,      64.8,      55.1,      74.1,      64.3
"Dec-1987" ,      58.7,      70.7,      72.8,      64.8,      55.3,      74.4,      64.7
"Jan-1988" ,      58.9,      71.0,      73.1,      64.9,      55.6,      74.7,      65.1
"Feb-1988" ,      59.1,      71.2,      73.7,      65.1,      55.8,      75.0,      65.6
"Mar-1988" ,      59.3,      71.5,      74.0,      65.0,      56.0,      75.2,      65.8
"Apr-1988" ,      59.6,      71.6,      74.2,      65.1,      56.1,      75.5,      66.1
"May-1988" ,      59.8,      71.5,      74.1,      65.2,      56.2,      75.6,      66.3
"Jun-1988" ,      60.0,      71.5,      74.2,      65.4,      56.3,      75.7,      66.3
"Jul-1988" ,      60.2,      71.6,      74.2,      65.5,      56.4,      76.0,      66.4
"Aug-1988" ,      60.4,      71.6,      74.1,      65.5,      56.5,      75.9,      66.3
"Sep-1988" ,      60.6,      71.7,      74.2,      65.6,      56.5,      75.9,      66.3
"Oct-1988" ,      60.8,      71.8,      74.7,      65.5,      56.7,      75.8,      66.2
"Nov-1988" ,      61.1,      72.1,      75.1,      65.7,      56.8,      75.9,      66.3
"Dec-1988" ,      61.3,      72.2,      75.4,      65.6,      57.0,      75.9,      66.7
"Jan-1989" ,      61.4,      72.2,      75.7,      65.7,      57.2,      76.1,      66.9
"Feb-1989" ,      61.7,      72.3,      75.8,      65.6,      57.3,      76.0,      67.0
"Mar-1989" ,      61.9,      72.3,      75.7,      65.5,      57.2,      75.9,      67.2
"Apr-1989" ,      62.0,      72.2,      75.4,      65.5,      57.1,      75.8,      67.1
"May-1989" ,      62.2,      71.9,      75.0,      65.4,      57.0,      75.7,      67.0
"Jun-1989" ,      62.3,      71.9,      74.7,      65.3,      56.9,      75.5,      66.8
"Jul-1989" ,      62.4,      71.6,      74.4,      65.0,      56.7,      75.1,      66.6
"Aug-1989" ,      62.5,      71.6,      74.2,      64.9,      56.6,      74.7,      66.3
"Sep-1989" ,      62.7,      71.3,      74.3,      64.6,      56.4,      74.3,      66.2
"Oct-1989" ,      62.8,      71.1,      74.1,      64.5,      56.3,      74.0,      66.1
"Nov-1989" ,      62.9,      70.8,      74.3,      64.4,      56.0,      73.7,      66.0
"Dec-1989" ,      63.1,      70.7,      74.4,      64.1,      55.9,      73.5,      66.0
"Jan-1990" ,      63.3,      70.5,      74.6,      63.8,      55.8,      73.4,      65.9
"Feb-1990" ,      63.5,      70.4,      74.7,      63.5,      55.6,      73.3,      65.7
"Mar-1990" ,      63.7,      70.4,      74.8,      63.2,      55.5,      73.0,      65.6
"Apr-1990" ,      63.8,      70.4,      74.6,      62.9,      55.3,      72.6,      65.6
