"HOME PRICE INDEX"
"NEW ENGLAND METROPOLITAN AREAS"
"(INDEX, Q1 1995=100, NOT SEASONALLY ADJUSTED)"
""
"Source: Federal Housing Finance Agency."
"http://www.fhfa.gov" 
""
"Qtr.","Bridgeport-Stamford-Norwalk","Hartford-East Hartford-Middletown","New Haven-Milford","Norwich-New London","Bangor","Lewiston-Auburn","Portland-South Portland","Barnstable Town","Pittsfield","Springfield","Worcester","Manchester-Nashua","Providence-Warwick","Burlington-South Burlington"


"HOME PRICE INDEX"
"NEW ENGLAND METROPOLITAN AREAS"
"(INDEX, Q1 1995=100, NOT SEASONALLY ADJUSTED)"
""
"Source: Federal Housing Finance Agency."
"http://www.fhfa.gov" 
""
"Qtr.","Bridgeport-Stamford-Norwalk","Hartford-East Hartford-Middletown","New Haven-Milford","Norwich-New London","Bangor","Lewiston-Auburn","Portland-South Portland","Barnstable Town","Pittsfield","Springfield","Worcester","Manchester-Nashua","Providence-Warwick","Burlington-South Burlington"


"Sep-1976" ,     30.60,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     29.86,       .  
"Dec-1976" ,     30.77,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     29.63,       .  
"Mar-1977" ,     29.90,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     29.90,       .  
"Jun-1977" ,     30.49,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     30.81,       .  
"Sep-1977" ,     32.46,       .  ,     34.36,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     31.89,       .  
"Dec-1977" ,     32.79,     33.28,     34.43,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     32.45,       .  
"Mar-1978" ,     33.69,     32.85,     34.57,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     33.78,       .  
"Jun-1978" ,     36.12,     36.28,     37.52,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     34.32,       .  
"Sep-1978" ,     39.94,     39.89,     40.12,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     35.95,       .  
"Dec-1978" ,     40.59,     43.49,     39.69,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     37.09,       .  
"Mar-1979" ,     43.10,     45.91,     41.62,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     37.30,       .  
"Jun-1979" ,     42.33,     48.32,     43.53,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     34.10,     36.27,       .  ,     38.88,       .  
"Sep-1979" ,     44.48,     48.92,     45.88,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     38.71,     38.70,       .  ,     39.26,       .  
"Dec-1979" ,     43.84,     51.51,     46.34,       .  ,       .  ,       .  ,       .  ,       .  ,       .  ,     37.33,     36.78,       .  ,     40.98,       .  
