"HOME PRICE INDEX"
"(INDEX, Q1 1995=100, NOT SEASONALLY ADJUSTED)"
""
"Source: Federal Housing Finance Agency."
"http://www.fhfa.gov" 
""
"DIVISIONS OF THE BOSTON-CAMBRIDGE-QUINCY METROPOLITAN AREA"
""
"Qtr.","Boston","Cambridge-Newton-Framingham","Rockingham County-Strafford County"


"HOME PRICE INDEX"
"(INDEX, Q1 1995=100, NOT SEASONALLY ADJUSTED)"
""
"Source: Federal Housing Finance Agency."
"http://www.fhfa.gov" 
""
"DIVISIONS OF THE BOSTON-CAMBRIDGE-QUINCY METROPOLITAN AREA"
""
"Qtr.","Boston","Cambridge-Newton-Framingham","Rockingham County-Strafford County"


"Mar-1977" ,       .  ,     24.61,       .  
"Jun-1977" ,       .  ,     23.17,       .  
"Sep-1977" ,       .  ,     24.58,       .  
"Dec-1977" ,     24.97,     25.13,       .  
"Mar-1978" ,     25.02,     27.37,       .  
"Jun-1978" ,     26.64,     26.17,       .  
"Sep-1978" ,     30.07,     28.24,       .  
"Dec-1978" ,     29.94,     30.30,       .  
"Mar-1979" ,     32.18,     31.65,       .  
"Jun-1979" ,     31.91,     34.03,       .  
"Sep-1979" ,     32.92,     34.16,       .  
"Dec-1979" ,     33.42,     35.62,       .  
"Mar-1980" ,     34.23,     35.29,       .  
"Jun-1980" ,     36.08,     36.87,       .  
"Sep-1980" ,     37.72,     37.92,       .  
"Dec-1980" ,     38.32,     38.08,       .  
"Mar-1981" ,     39.87,     40.04,       .  
"Jun-1981" ,     41.57,     42.23,       .  
"Sep-1981" ,     42.86,     42.76,       .  
"Dec-1981" ,     42.95,     42.56,       .  
"Mar-1982" ,     43.62,     43.98,       .  
"Jun-1982" ,     42.92,     43.87,       .  
"Sep-1982" ,     44.13,     44.16,       .  
"Dec-1982" ,     44.34,     45.01,       .  
"Mar-1983" ,     45.65,     45.86,       .  
"Jun-1983" ,     48.06,     47.69,       .  
"Sep-1983" ,     50.43,     50.21,     61.57
"Dec-1983" ,     52.81,     52.06,     61.82
"Mar-1984" ,     53.79,     55.16,     64.72
"Jun-1984" ,     57.67,     58.51,     67.90
"Sep-1984" ,     61.52,     62.68,     69.91
"Dec-1984" ,     63.56,     64.86,     72.61
"Mar-1985" ,     67.21,     68.40,     75.58
"Jun-1985" ,     72.42,     74.01,     80.29
"Sep-1985" ,     77.55,     78.57,     84.74
"Dec-1985" ,     82.64,     83.87,     91.10
"Mar-1986" ,     86.17,     87.40,     95.38
"Jun-1986" ,     90.17,     91.17,    100.09
"Sep-1986" ,     94.54,     95.32,    104.75
"Dec-1986" ,     99.53,     99.14,    110.86
"Mar-1987" ,    102.93,    102.06,    114.34
"Jun-1987" ,    105.11,    103.89,    118.89
"Sep-1987" ,    108.82,    106.02,    120.19
"Dec-1987" ,    109.45,    106.48,    123.65
"Mar-1988" ,    109.82,    107.89,    120.24
"Jun-1988" ,    112.49,    108.96,    122.64
"Sep-1988" ,    111.77,    108.50,    122.40
"Dec-1988" ,    112.90,    108.69,    122.33
"Mar-1989" ,    111.48,    107.75,    124.30
"Jun-1989" ,    111.21,    107.02,    120.12
"Sep-1989" ,    112.51,    108.64,    123.76
