"TOTAL NONAGRICULTURAL EMPLOYMENT"
"MASSACHUSETTS METROPOLITAN NECTAS"
"('000s, SEASONALLY ADJUSTED)"
""
"Source: U.S. Bureau of Labor Statistics."
""
"DATE","Barnstable Town","Boston-Cambridge-Nashua"
"----------------------------------------------------------------------------"
"Jan-1990" ,     79.6,   2285.0
"Feb-1990" ,     78.9,   2277.4
"Mar-1990" ,     78.5,   2272.5
"Apr-1990" ,     78.6,   2267.9
"May-1990" ,     77.2,   2263.0
"Jun-1990" ,     77.6,   2257.6
"Jul-1990" ,     77.5,   2248.1
"Aug-1990" ,     77.3,   2240.1
"Sep-1990" ,     77.3,   2231.3
"Oct-1990" ,     76.0,   2212.8
"Nov-1990" ,     76.0,   2204.8
"Dec-1990" ,     75.4,   2194.9
"Jan-1991" ,     74.8,   2183.6
"Feb-1991" ,     74.4,   2172.5
"Mar-1991" ,     74.2,   2167.8
"Apr-1991" ,     73.7,   2156.2
"May-1991" ,     73.5,   2144.1
"Jun-1991" ,     73.7,   2141.3
"Jul-1991" ,     73.5,   2131.8
"Aug-1991" ,     73.5,   2129.2
"Sep-1991" ,     73.2,   2128.0
"Oct-1991" ,     73.7,   2128.3
"Nov-1991" ,     73.6,   2124.4
"Dec-1991" ,     73.7,   2122.8
"Jan-1992" ,     73.4,   2122.5
"Feb-1992" ,     73.1,   2122.0
"Mar-1992" ,     73.6,   2121.6
"Apr-1992" ,     73.6,   2117.6
"May-1992" ,     73.9,   2120.4
"Jun-1992" ,     73.8,   2117.1
"Jul-1992" ,     73.5,   2121.7
"Aug-1992" ,     73.7,   2122.6
"Sep-1992" ,     74.5,   2118.1
"Oct-1992" ,     73.8,   2131.3
"Nov-1992" ,     73.6,   2133.8
"Dec-1992" ,     73.8,   2131.8
"Jan-1993" ,     75.6,   2147.1
"Feb-1993" ,     75.9,   2147.0
"Mar-1993" ,     75.7,   2144.6
"Apr-1993" ,     75.8,   2152.4
"May-1993" ,     76.0,   2159.1
"Jun-1993" ,     76.3,   2161.0
"Jul-1993" ,     76.5,   2161.0
"Aug-1993" ,     76.5,   2163.5
"Sep-1993" ,     77.3,   2165.9
"Oct-1993" ,     77.8,   2172.0
"Nov-1993" ,     77.6,   2172.6
"Dec-1993" ,     77.8,   2177.4
"Jan-1994" ,     78.0,   2181.6
"Feb-1994" ,     77.7,   2186.9
"Mar-1994" ,     78.0,   2189.3
"Apr-1994" ,     78.4,   2197.3
"May-1994" ,     78.7,   2197.8
"Jun-1994" ,     79.1,   2204.8
"Jul-1994" ,     79.8,   2212.1
"Aug-1994" ,     80.2,   2215.6
"Sep-1994" ,     80.9,   2218.6
"Oct-1994" ,     80.1,   2221.5
"Nov-1994" ,     80.4,   2229.2
"Dec-1994" ,     80.4,   2233.1
"Jan-1995" ,     81.2,   2240.5
"Feb-1995" ,     81.7,   2245.1
"Mar-1995" ,     81.9,   2250.1
"Apr-1995" ,     82.0,   2261.1
"May-1995" ,     81.9,   2257.9
"Jun-1995" ,     82.3,   2261.9
"Jul-1995" ,     82.4,   2263.8
"Aug-1995" ,     83.2,   2269.7
"Sep-1995" ,     82.9,   2272.8
"Oct-1995" ,     82.9,   2277.0
"Nov-1995" ,     83.1,   2282.9
"Dec-1995" ,     83.4,   2284.4
"Jan-1996" ,     83.1,   2279.6
"Feb-1996" ,     83.6,   2288.4
"Mar-1996" ,     83.9,   2293.1
"Apr-1996" ,     84.1,   2299.9
"May-1996" ,     84.5,   2305.2
"Jun-1996" ,     85.0,   2309.9
"Jul-1996" ,     84.8,   2315.4
"Aug-1996" ,     85.1,   2319.6
"Sep-1996" ,     85.3,   2324.5
"Oct-1996" ,     85.6,   2326.7
"Nov-1996" ,     85.7,   2333.8
"Dec-1996" ,     85.7,   2336.2
"Jan-1997" ,     86.2,   2344.7
"Feb-1997" ,     86.4,   2345.7
"Mar-1997" ,     86.8,   2353.6
"Apr-1997" ,     87.1,   2353.6
"May-1997" ,     87.0,   2359.1
"Jun-1997" ,     87.1,   2361.9
"Jul-1997" ,     86.8,   2363.7
"Aug-1997" ,     87.6,   2368.0
"Sep-1997" ,     87.5,   2375.4
"Oct-1997" ,     88.5,   2382.4
"Nov-1997" ,     88.3,   2388.3
"Dec-1997" ,     88.8,   2398.6
"Jan-1998" ,     88.7,   2396.9
"Feb-1998" ,     89.1,   2404.1
"Mar-1998" ,     88.8,   2406.3
"Apr-1998" ,     88.9,   2410.9
